"NAME","n_facilities_within_1km","near_pps"
"Los Angeles",243,TRUE
"Kern",223,TRUE
"Worcester",184,TRUE
"San Bernardino",147,TRUE
"Riverside",108,TRUE
"Fresno",92,TRUE
"San Diego",90,TRUE
"Hampden",83,TRUE
"Middlesex",72,TRUE
"Imperial",72,TRUE
"Harris",69,TRUE
"Plymouth",66,TRUE
"Middlesex",64,TRUE
"Bristol",60,TRUE
"Sacramento",60,TRUE
"Maricopa",59,TRUE
"Clark",58,TRUE
"Santa Clara",57,TRUE
"Providence",54,TRUE
"Suffolk",52,TRUE
"Orange",52,TRUE
"St. Lawrence",49,TRUE
"Chisago",48,TRUE
"Stearns",47,TRUE
"Tulare",46,TRUE
"Orange",46,TRUE
"Robeson",46,TRUE
"Southeastern Connecticut",45,TRUE
"Burlington",45,TRUE
"Hampshire",43,TRUE
"Solano",40,TRUE
"Kings",40,TRUE
"Duplin",40,TRUE
"Shasta",38,TRUE
"Capitol",37,TRUE
"Saratoga",37,TRUE
"Norfolk",36,TRUE
"Franklin",36,TRUE
"Wayne",36,TRUE
"Adams",35,TRUE
"Weld",34,TRUE
"Twin Falls",34,TRUE
"Dakota",34,TRUE
"Prince George's",33,TRUE
"Polk",33,TRUE
"Cook",32,TRUE
"Johnston",32,TRUE
"Nash",32,TRUE
"Pima",32,TRUE
"Berkshire",32,TRUE
"Jefferson",31,TRUE
"Clackamas",31,TRUE
"Goodhue",31,TRUE
"Essex",30,TRUE
"Sherburne",30,TRUE
"Rice",30,TRUE
"Cleveland",30,TRUE
"Contra Costa",29,TRUE
"Marion",29,TRUE
"Monroe",29,TRUE
"Pipestone",29,TRUE
"Brazoria",28,TRUE
"Somerset",28,TRUE
"Oswego",28,TRUE
"San Joaquin",28,TRUE
"Hudson",28,TRUE
"Somerset",27,TRUE
"Alameda",27,TRUE
"Monterey",27,TRUE
"Madera",27,TRUE
"Wright",27,TRUE
"Lewis",27,TRUE
"Monmouth",26,TRUE
"Mercer",26,TRUE
"New York",26,TRUE
"Renville",25,TRUE
"Erie",25,TRUE
"Albany",25,TRUE
"Union",25,TRUE
"Lincoln",25,TRUE
"Gloucester",24,TRUE
"Blue Earth",24,TRUE
"Camden",24,TRUE
"Placer",24,TRUE
"Chittenden",24,TRUE
"Hillsborough",23,TRUE
"Queens",23,TRUE
"Westchester",23,TRUE
"Oneida",23,TRUE
"Will",23,TRUE
"Waseca",23,TRUE
"Marion",23,TRUE
"Sonoma",22,TRUE
"Stanislaus",22,TRUE
"Elmore",22,TRUE
"Bexar",22,TRUE
"Dutchess",22,TRUE
"Rensselaer",22,TRUE
"Tarrant",22,TRUE
"Hidalgo",21,TRUE
"Butte",21,TRUE
"Ulster",21,TRUE
"Kings",21,TRUE
"Cumberland",21,TRUE
"Lancaster",21,TRUE
"Essex",21,TRUE
"Dodge",21,TRUE
"Penobscot",21,TRUE
"Bronx",21,TRUE
"Clinton",21,TRUE
"Kennebec",21,TRUE
"Merced",20,TRUE
"Onondaga",20,TRUE
"Columbus",20,TRUE
"Washington",20,TRUE
"Washington",20,TRUE
"Tuolumne",20,TRUE
"Carver",20,TRUE
"Barnstable",20,TRUE
"Morrow",20,TRUE
"McLeod",20,TRUE
"Nassau",19,TRUE
"Northampton",19,TRUE
"Pinal",19,TRUE
"Sullivan",19,TRUE
"Warren",19,TRUE
"Ventura",19,TRUE
"Pecos",19,TRUE
"Kent",19,TRUE
"Le Sueur",19,TRUE
"Fulton",19,TRUE
"Pope",19,TRUE
"El Dorado",18,TRUE
"Halifax",18,TRUE
"Huron",18,TRUE
"Gaston",18,TRUE
"Benton",18,TRUE
"Dane",18,TRUE
"Olmsted",18,TRUE
"Catawba",18,TRUE
"Randolph",18,TRUE
"Iron",18,TRUE
"Baltimore",17,TRUE
"Harford",17,TRUE
"Morris",17,TRUE
"District of Columbia",17,TRUE
"Travis",17,TRUE
"Hertford",17,TRUE
"Inyo",17,TRUE
"Montgomery",17,TRUE
"Hunterdon",17,TRUE
"Suffolk",17,TRUE
"Philadelphia",17,TRUE
"Adair",17,TRUE
"Beaver",17,TRUE
"Ocean",17,TRUE
"El Paso",17,TRUE
"Richmond",17,TRUE
"Androscoggin",17,TRUE
"Cameron",16,TRUE
"Marinette",16,TRUE
"Nevada",16,TRUE
"Martin",16,TRUE
"Scotland",16,TRUE
"Klamath",16,TRUE
"Mohave",16,TRUE
"Duval",16,TRUE
"Bladen",16,TRUE
"South Central Connecticut",16,TRUE
"Atlantic",16,TRUE
"Grafton",16,TRUE
"Chippewa",16,TRUE
"Rowan",16,TRUE
"Logan",16,TRUE
"Addison",16,TRUE
"Story",16,TRUE
"Winona",16,TRUE
"Lenoir",16,TRUE
"Naugatuck Valley",15,TRUE
"Steele",15,TRUE
"Cumberland",15,TRUE
"Fort Bend",15,TRUE
"New Castle",15,TRUE
"Bucks",15,TRUE
"Anderson",15,TRUE
"Galveston",15,TRUE
"Yolo",15,TRUE
"Fulton",15,TRUE
"Sampson",15,TRUE
"Spartanburg",15,TRUE
"Niagara",15,TRUE
"Northeastern Connecticut",15,TRUE
"Howard",15,TRUE
"Ontario",15,TRUE
"San Luis Obispo",15,TRUE
"Umatilla",15,TRUE
"Rutland",15,TRUE
"Schenectady",15,TRUE
"Richmond",14,TRUE
"Lexington",14,TRUE
"Arapahoe",14,TRUE
"York",14,TRUE
"Herkimer",14,TRUE
"Washoe",14,TRUE
"Pueblo",14,TRUE
"Coos",14,TRUE
"Wayne",14,TRUE
"Genesee",14,TRUE
"Franklin",14,TRUE
"Wilson",14,TRUE
"Greater Bridgeport",14,TRUE
"Klickitat",14,TRUE
"Cumberland",14,TRUE
"Franklin",14,TRUE
"Stephenson",14,TRUE
"Nolan",14,TRUE
"Caddo",14,TRUE
"Bernalillo",14,TRUE
"Merrimack",14,TRUE
"Lyon",14,TRUE
"Oxford",13,TRUE
"Malheur",13,TRUE
"Somerset",13,TRUE
"Webb",13,TRUE
"Gilliam",13,TRUE
"Salt Lake",13,TRUE
"Redwood",13,TRUE
"Washington",13,TRUE
"Washington",13,TRUE
"Douglas",13,TRUE
"Pitt",13,TRUE
"Rutherford",13,TRUE
"Vance",13,TRUE
"Kandiyohi",13,TRUE
"Carbon",13,TRUE
"Jerome",13,TRUE
"Kankakee",13,TRUE
"LaSalle",13,TRUE
"Guilford",13,TRUE
"Chatham",13,TRUE
"Yamhill",13,TRUE
"Caledonia",13,TRUE
"Scurry",13,TRUE
"Wyoming",13,TRUE
"Wake",13,TRUE
"Nueces",12,TRUE
"Calaveras",12,TRUE
"Harnett",12,TRUE
"Larimer",12,TRUE
"Lake",12,TRUE
"Boulder",12,TRUE
"Orangeburg",12,TRUE
"Moore",12,TRUE
"Montgomery",12,TRUE
"Hennepin",12,TRUE
"Nicollet",12,TRUE
"Bergen",12,TRUE
