"NAME","facility_density"
"Manassas",23.4430079334394
"New York",20.6928521311107
"Hudson",16.2068949181419
"Bronx",11.3750443229868
"Hopewell",10.7043770706255
"Kings",9.73520780178328
"Franklin",9.24315345328509
"Richmond",8.02705780179436
"Salem",7.93118713292147
"District of Columbia",7.91274403747947
"Union",7.78672647669105
"Middlesex",7.54379156888012
"Suffolk",6.1469752824627
"Emporia",5.55884031056062
"Queens",5.01817292696084
"San Francisco",4.89875147424047
"Hampden",4.56545694312008
"Providence",4.55140443331446
"Baltimore",4.46818937872057
"Harrisonburg",4.4399337231961
"Worcester",4.2299756498999
"Essex",4.2136819021864
"Mercer",4.04908986999423
"Chisago",4.01511798825535
"Bristol",3.7310151069416
"Plymouth",3.408520740958
"Kent",3.29866920881973
"Camden",3.22611107495943
"Newport",3.17139628306906
"Bristol",2.97825725471391
"Philadelphia",2.97554065366366
"St. Louis",2.91725392462405
"Somerset",2.91259227044264
"Norfolk",2.72065929799904
"Greater Bridgeport",2.66011917875692
"Southeastern Connecticut",2.65155233478286
"Danville",2.64538458065436
"Middlesex",2.55232395822463
"Alexandria",2.50613716957258
"Denver",2.49558986584855
"Wayne",2.4922388973315
"Schenectady",2.39665237358487
"Cleveland",2.39066013626441
"Pipestone",2.32035955749775
"Sherburne",2.31124203236193
"Howard",2.28586653193349
"Nash",2.27635360311628
"Orange",2.27311160023557
"Hampshire",2.26587890353637
"Los Angeles",2.23610947864096
"Sacramento",2.21326900822455
"Marion",2.20357600287908
"Essex",2.10818180748035
"Prince George's",2.08994101509942
"Orange",2.0721319630009
"Gloucester",2.06371167515519
"Washington",1.97567027972819
"Dakota",1.97381069464522
"Carver",1.951309876495
"Scotland",1.92704273809189
"Rice",1.87053208011704
"Vance",1.86819649626729
"Nassau",1.84102909747435
"Burlington",1.83595159482993
"Robeson",1.82962141748283
"Westchester",1.78134369756369
"Lincoln",1.75989632758975
"Monmouth",1.74889899045373
"Suffolk",1.7458718266579
"Rockland",1.7413956584633
"Hertford",1.72226317763965
"Duplin",1.69449554448977
"Santa Clara",1.66282288843761
"Franklin",1.65222967755873
"Dukes",1.63097032586575
"Monroe",1.62166375816399
"Waseca",1.60524282330069
"Gaston",1.59286306595803
"Albany",1.59278940208255
"Dodge",1.58053311568139
"Barnstable",1.5803612983428
"Washington",1.54992571824941
"Cumberland",1.54077828808372
"South Central Connecticut",1.53385930095487
"Warren",1.49075927443543
"Goodhue",1.48586342777384
"Catawba",1.48497878660187
"Contra Costa",1.47266263503284
"Johnston",1.45581570652572
