"NAME","n_facilities"
"Black Hawk",8
"Morgan",8
"Kay",8
"Beaver",8
"Franklin",8
"Whiteside",8
"Bradford",8
"Sussex",8
"Kent",8
"Kossuth",8
"Butler",8
"Cochise",8
"Jasper",8
"Polk",8
"Berks",8
"Yadkin",8
"Luzerne",8
"Caledonia",8
"Wood",8
"Chaves",8
"Taylor",8
"Hancock",8
"Worth",7
"Marquette",7
"Martin",7
"Calhoun",7
"Power",7
"Deschutes",7
"Louisa",7
"Sussex",7
"San Mateo",7
"Mecklenburg",7
"Queen Anne's",7
"Pittsylvania",7
"Berkeley",7
"Guadalupe",7
"San Patricio",7
"Lucas",7
"Paulding",7
"Cascade",7
"Armstrong",7
"Williamson",7
"Burke",7
"Bergen",7
"Passaic",7
"Cherokee",7
"Hampton",7
"Washington",7
"Jefferson",7
"Berrien",7
"Union",7
"Surry",7
"Howard",7
"Cabarrus",7
"Tippecanoe",7
"Walton",7
"Rock",7
"Ford",7
"Wilson",7
"Hendry",7
"Denton",7
"Grayson",7
"Greenville",7
"Winnebago",7
"Marathon",7
"Lassen",7
"Spokane",7
"DeSoto",7
"Calhoun",7
"Meeker",7
"Mower",7
"Tuscola",7
"Bureau",7
"Chemung",7
"Grady",7
"Ogle",7
"Cortland",7
"Chesapeake",7
"Vermilion",7
"Columbia",7
"Cottonwood",7
"Cecil",6
"Delta",6
"Park",6
"Livingston",6
"Cumberland",6
"Wharton",6
"Moore",6
"Lewis",6
"Effingham",6
"Somerset",6
"Frederick",6
"Rockingham",6
"Strafford",6
"Mitchell",6
"Pierce",6
"Osceola",6
"Richland",6
"Montgomery",6
"Ward",6
"Buncombe",6
"Rio Arriba",6
"Rusk",6
"Volusia",6
"Humboldt",6
"Bertie",6
"Delaware",6
"Davidson",6
"Stanly",6
"Linn",6
"Faribault",6
"Chesterfield",6
"Benton",6
"Taylor",6
"Napa",6
"Amherst",6
"Yakima",6
"Floyd",6
"Hamilton",6
"Garfield",6
"Cayuga",6
"Collin",6
"Lamar",6
"Broward",6
"Lamoille",6
"Indian River",6
"Bay",6
"Davie",6
"Dougherty",6
"Butler",6
"Pratt",6
"Carlton",6
"Williams",6
"Willacy",6
"Montgomery",6
"Lubbock",6
"Gratiot",6
"Grundy",6
"Williamson",6
"Sangamon",6
"Tehama",6
"Hill",6
"Cass",6
"Atchison",6
"Oldham",6
"Freeborn",6
"Fillmore",6
"Orleans",6
"Manassas",6
"Storey",6
"Trumbull",6
"Manitowoc",6
"Iredell",6
"Milwaukee",6
"Laramie",6
"Poweshiek",6
"Adams",6
"Marshall",6
"Jeff Davis",6
"Decatur",6
"Borden",6
"Seneca",6
"Upton",6
"Macon",6
"Woodward",6
"Madison",6
"San Francisco",6
"Osceola",6
"Bell",6
"Kit Carson",6
"Curry",6
"Luna",6
"St. Charles",6
"Washtenaw",6
"Pasco",5
"Chatham",5
"Alpena",5
"Iron",5
"Currituck",5
"Horry",5
"Calaveras",5
"Putnam",5
"East Baton Rouge",5
"Jackson",5
"Henry",5
"Wasatch",5
"Chester",5
"Chambers",5
"Orleans",5
"Kent",5
"Dukes",5
"Taos",5
"Amador",5
"Union",5
"Calhoun",5
"Crane",5
"York",5
"Cherokee",5
"Oconee",5
"Trinity",5
"Jefferson",5
"Mobile",5
"Boone",5
"Spotsylvania",5
"Dewey",5
"Cassia",5
"St. Mary",5
"Snohomish",5
"Chippewa",5
"Hardee",5
"Siskiyou",5
"Lewis and Clark",5
"Greene",5
"Kenedy",5
"Charles",5
"Iberville",5
"Montezuma",5
"Rabun",5
"Grant",5
"Pinellas",5
"Warren",5
"Navajo",5
"Jackson",5
"Mitchell",5
"Allegan",5
"Tulsa",5
"Caswell",5
"Haskell",5
"Hansford",5
"Early",5
"Otero",5
"Windham",5
"Platte",5
"Lyon",5
"Greene",5
"Peoria",5
"Morgan",5
"Neosho",5
"Lincoln",5
"Barnwell",5
"Sheboygan",5
"Polk",5
"Brown",5
"Delaware",5
"Douglas",5
"Sandusky",5
"St. Louis",5
"Millard",5
"Bennington",5
"Dickinson",5
"Dodge",5
"Dunn",5
"Henry",5
"Jefferson",5
"Randolph",5
"Barron",5
"Sterling",5
"Monongalia",5
"Sweetwater",5
"Forsyth",5
"Medina",5
"Harper",5
"Glasscock",5
"Isanti",5
"Sibley",5
"Yellowstone",5
"Orange",5
"Webster",5
"Chowan",5
"Lincoln",5
"Adams",5
"Quay",5
"Jackson",5
"Sanpete",5
"Saginaw",5
"Clay",5
"Dubuque",5
"Cibola",5
"Hutchinson",5
"Hancock",5
"Custer",5
"Coffey",5
"Antelope",5
"Durham",5
"Mayes",5
"Ramsey",5
"Benton",5
"Douglas",5
"Cerro Gordo",5
"Grant",5
"Wilbarger",5
"Darke",5
"Montcalm",5
"Heard",5
"Grant",5
"Thomas",5
"Lincoln",5
"Rock",5
"Orleans",5
"Johnson",5
"Dickinson",5
"Lincoln",5
"Cooke",5
"Santa Cruz",4
"Jay",4
"Elmore",4
"Stokes",4
"York",4
"Hamilton",4
"Thurston",4
"Lake",4
"Yuba",4
"Huerfano",4
"DeKalb",4
"Bulloch",4
"Clay",4
"Gray",4
"Centre",4
"Pickens",4
"Weber",4
"Henrico",4
"Bedford",4
"Santa Rosa",4
"Muscogee",4
"Brunswick",4
"Henderson",4
"Beaufort",4
"Lake",4
"Waldo",4
"Menominee",4
"Franklin",4
"Greene",4
"Carroll",4
"Whitman",4
"De Witt",4
"San Benito",4
"Houston",4
"Clarendon",4
"Mills",4
"Autauga",4
"Essex",4
"Matagorda",4
"Cache",4
"DuPage",4
"Campbell",4
"Fremont",4
"Yavapai",4
"Hamilton",4
"Jasper",4
"Shelby",4
"Box Elder",4
"Bibb",4
"Marion",4
"Young",4
"Suwannee",4
"Rosebud",4
"Dorchester",4
"Salem",4
"Colfax",4
"Skagit",4
"Wicomico",4
"Navarro",4
"Rockingham",4
"Greensville",4
"Fremont",4
"Mecklenburg",4
"Flathead",4
"Grays Harbor",4
"Clinton",4
"Bosque",4
"Nassau",4
"Surry",4
"Cowlitz",4
"Camden",4
"Yellow Medicine",4
"Lincoln",4
"Walla Walla",4
"Greenwood",4
"Davidson",4
"Fayette",4
"Sullivan",4
"Indiana",4
"Prowers",4
"Itasca",4
"Wayne",4
"Miami",4
"Clark",4
"Porter",4
"Wyandotte",4
"Douglas",4
"Washington",4
"Ellis",4
"Jack",4
"Fond du Lac",4
"Polk",4
"Richland",4
"Auglaize",4
"Henry",4
"Broome",4
"Finney",4
"Lyon",4
"Livingston",4
"St. Francois",4
"Wheatland",4
"Vernon",4
"Otoe",4
"Sedgwick",4
"Hunt",4
"Falls",4
"Concho",4
"St. James",4
"Pulaski",4
"Grundy",4
"Pocahontas",4
"Hot Spring",4
"Jasper",4
"Brookings",4
"Bay",4
"Sanilac",4
"Muscatine",4
"Portage",4
"Kootenai",4
"Sumner",4
"Martin",4
"Harney",4
"McDonough",4
"Logan",4
"Knox",4
"Wayne",4
"Blair",4
"Oakland",4
"Kalamazoo",4
"Oklahoma",4
"Franklin",4
"Jefferson",4
"Murray",4
"Branch",4
"Iosco",4
"San Miguel",4
"Meriwether",4
"Nye",4
"Kingfisher",4
"Lorain",4
"Columbia",4
"Zapata",4
"Bremer",4
"Polk",4
"Washington",4
"Macon",4
"Orange",4
"Ford",4
"Carbon",4
"Tama",4
"McLennan",4
"Crosby",4
"Webster",4
"Lycoming",4
"Columbia",4
"Richland",4
"Haywood",4
"Elkhart",4
"St. Joseph",4
"Okeechobee",4
"Ouachita",4
"Caldwell",4
"Lauderdale",4
"McNairy",4
"Kent",4
"Cobb",4
"Taylor",4
"Madison",4
"Miami",4
"Hardin",4
"Canadian",4
"Montgomery",4
"Fairfield",4
"Henry",4
"Covington",4
"Ingham",4
"Mississippi",3
"La Plata",3
"Glynn",3
"Columbia",3
"Owyhee",3
"Perry",3
"Washington",3
"Caddo",3
"Talbot",3
"Osage",3
"Aiken",3
"Maverick",3
"Val Verde",3
"Harrison",3
"Pleasants",3
"Jefferson",3
"Grand",3
"Gilchrist",3
"Twiggs",3
"Washington",3
"Sagadahoc",3
"Morrison",3
"Brown",3
"Yates",3
"Westmoreland",3
"Anderson",3
"Montgomery",3
"Stevens",3
"Leon",3
"Coconino",3
"Apache",3
"Marin",3
"New Hanover",3
"Macon",3
"Pasquotank",3
"Multnomah",3
"Marlboro",3
"Georgetown",3
"Caribou",3
"Rock Island",3
"St. Bernard",3
"Warren",3
"Cass",3
"Big Horn",3
"Roosevelt",3
"Cape May",3
"San Juan",3
"Grant",3
"Isle of Wight",3
"Prince William",3
"Westmoreland",3
"Clark",3
"Mason",3
"Grant",3
"Uinta",3
"Colusa",3
"Calhoun",3
"Marion",3
"Loudon",3
"Otsego",3
"Lander",3
"Sierra",3
"Otsego",3
"Chenango",3
"Hoke",3
"Dauphin",3
"Leelanau",3
"Macomb",3
"Franklin",3
"Williams",3
"Essex",3
"Jefferson",3
"Emery",3
"Chelan",3
"Natrona",3
"Washington",3
"Jefferson",3
"Murray",3
"Spencer",3
"Fauquier",3
"Vigo",3
"Ascension",3
"Crook",3
"Allendale",3
"Robertson",3
"Jasper",3
"Bee",3
"Culberson",3
"Chaffee",3
"Brazos",3
"Cass",3
"Clearfield",3
"Buckingham",3
"Grant",3
"Orange",3
"Monroe",3
"Putnam",3
"Pointe Coupee",3
"Marion",3
"Baraga",3
"Southampton",3
"Crockett",3
"Teton",3
"Muskogee",3
"Benton",3
"King William",3
"Greenbrier",3
"Dunklin",3
"Acadia",3
"Sac",3
"Davis",3
"Lee",3
"Baca",3
"Charlotte",3
"Franklin",3
"Woodbury",3
"Lenawee",3
"Mason",3
"Dixon",3
"Comanche",3
"Saluda",3
"Hyde",3
"Oneida",3
"Washington",3
"Gates",3
"Bastrop",3
"Coke",3
"Summit",3
"Snyder",3
"Shelby",3
"Saline",3
"Isabella",3
"Cedar",3
"Hamilton",3
"Crawford",3
"Fayette",3
"Beaver",3
"Hood River",3
"Lee",3
"Independence",3
"Deuel",3
"Upson",3
"Mitchell",3
"Chester",3
"Suffolk",3
"Madison",3
"Greene",3
"Adams",3
"Guthrie",3
"Palo Alto",3
"Cherokee",3
"Hendricks",3
"Audubon",3
"Floyd",3
"Harper",3
"Polk",3
"Sullivan",3
"Knox",3
"Boone",3
"Hidalgo",3
"Fannin",3
"Yoakum",3
"Nodaway",3
"Worcester",3
"Humboldt",3
"Sullivan",3
"Hillsdale",3
"St. Clair",3
"Howard",3
"Montgomery",3
"Iroquois",3
"Clayton",3
"Cavalier",3
"Christian",3
"Sawyer",3
"Jackson",3
"Platte",3
"Adams",3
"Iowa",3
"Troup",3
"Tazewell",3
"Danville",3
"Roger Mills",3
"Fluvanna",3
"Salem",3
"Lincoln",3
"Barnes",3
"Mercer",3
"Cole",3
"Stutsman",3
"Miami",3
"Washington",3
"Missaukee",3
"Brown",3
"Lackawanna",3
"Burleigh",3
"Morgan",3
"Otter Tail",3
"Putnam",3
"Kenton",3
"Carroll",3
"Audrain",3
"Shelby",3
"Lamar",3
"Mineral",3
"Choctaw",3
"Schuyler",3
"Lynn",3
"Cuming",3
"Dawson",3
"Clarke",3
"Cheboygan",3
"Wyoming",3
"Columbia",3
"Shawnee",3
"Terrell",3
"Clark",3
"Stevens",3
"Garland",3
"Wichita",3
"Calhoun",3
"Barton",3
"Llano",3
"Dodge",3
"Cowley",3
"Boone",3
"Throckmorton",3
"Ellis",3
"Lincoln",3
"Frio",3
"Jackson",3
"Grundy",3
"Lebanon",3
"Alexander",3
"Ross",3
"Roosevelt",3
"Florence",3
"Hale",3
"Van Wert",3
"Oconto",3
"Price",3
"Hopewell",3
"Hood",3
"Greene",3
"Gosper",3
"Oliver",3
"Johnson",3
"Washita",3
"Iowa",3
"Burnett",3
"Manistee",3
"Monroe",3
"Clay",3
"Clark",3
"Lauderdale",3
"Eaton",3
"Dawson",3
"Newaygo",3
"Franklin",3
"Houston",2
"Taylor",2
"Citrus",2
"Lee",2
"Liberty",2
"Franklin",2
"Clark",2
"Clearwater",2
"Monroe",2
"Lowndes",2
"Lincoln",2
"Ottawa",2
"Le Flore",2
"Greene",2
"Tooele",2
"Juab",2
"James City",2
"Northampton",2
"Mason",2
"Boone",2
"Buffalo",2
"Trempealeau",2
"Teton",2
"Calhoun",2
"Douglas",2
"Clear Creek",2
"Wakulla",2
"Tattnall",2
"Daviess",2
"Osage",2
"Kiowa",2
"Mercer",2
"Kanabec",2
"Sanders",2
"Cleveland",2
"Kershaw",2
"Pennington",2
"Kaufman",2
"Winkler",2
"Burnet",2
"Warren",2
"Pulaski",2
"Douglas",2
"Elbert",2
"La Paz",2
"Desha",2
"Carroll",2
"Clay",2
"Pamlico",2
"Washington",2
"McCurtain",2
"Warren",2
"Carter",2
"Brewster",2
"San Juan",2
"Posey",2
"Scott",2
"Emmet",2
"Nemaha",2
"Talladega",2
"Colbert",2
"Wilcox",2
"Polk",2
"Lowndes",2
"Cape Girardeau",2
"Putnam",2
"Thayer",2
"Wayne",2
"McPherson",2
"Garrard",2
"Piscataquis",2
"Alleghany",2
"Lancaster",2
"Fairfax",2
"Wayne",2
"White",2
"Eagle",2
"Columbia",2
"Sumter",2
"Austin",2
"Haywood",2
"McLean",2
"Steele",2
"Crawford",2
"Carbon",2
"Defiance",2
"Erie",2
"Hempstead",2
"Summit",2
"Lake",2
"Lake",2
"Page",2
"Amelia",2
"Richmond",2
"Fayette",2
"Knox",2
"Davis",2
"Prince George",2
"Ashley",2
"Appling",2
"Brooks",2
"Bannock",2
"Allen",2
"Watonwan",2
"Yazoo",2
"DeKalb",2
"Saline",2
"Monroe",2
"Polk",2
"Gunnison",2
"Seminole",2
"Rhea",2
"Rusk",2
"Hinds",2
"Charles City",2
"Lincoln",2
"Kanawha",2
"Sierra",2
"Lawrence",2
"Allegany",2
"Livingston",2
"West Feliciana",2
"Bates",2
"Wilkinson",2
"Pottawatomie",2
"Lafayette",2
"Jefferson",2
"Jackson",2
"Lake",2
"Mineral",2
"Castro",2
"Graham",2
"Traill",2
"Bryan",2
"Sumner",2
"Randall",2
"Powhatan",2
"Okaloosa",2
"Mendocino",2
"Summit",2
"Cheyenne",2
"Frederick",2
"Ashland",2
"Glenn",2
"Laurens",2
"Comal",2
"Callaway",2
"Greenup",2
"Blaine",2
"Clark",2
"Judith Basin",2
"Hanover",2
"Clay",2
"St. Charles",2
"Pike",2
"Estill",2
"Rapides",2
"Mariposa",2
"Grimes",2
"Baylor",2
"Hyde",2
"Bent",2
"Camden",2
"Lancaster",2
"Madison",2
"Marshall",2
"Newton",2
"Canyon",2
"Las Animas",2
"Chesterfield",2
"Huntingdon",2
"Carbon",2
"Madison",2
"Jackson",2
"Vanderburgh",2
"Vermillion",2
"Tuscaloosa",2
"Montgomery",2
"Johnson",2
"Alcona",2
"Koochiching",2
"Johnson",2
"Burt",2
"Sarpy",2
"Howell",2
"Erath",2
"Collier",2
"Clay",2
"Putnam",2
"Ward",2
"Santa Cruz",2
"Seneca",2
"Monroe",2
"Conejos",2
"Venango",2
"Marshall",2
"Wapello",2
"Henry",2
"Clinton",2
"Wexford",2
"Belknap",2
"Knox",2
"Marion",2
"Rush",2
"Smith",2
"Monroe",2
"Lake",2
"Randolph",2
"Fulton",2
"Shelby",2
"Bartow",2
"Tioga",2
"Franklin",2
"Custer",2
"Hardeman",2
"Worth",2
"Monroe",2
"Carroll",2
"Russell",2
"Mitchell",2
"Gonzales",2
"Marshall",2
"Wise",2
"Potter",2
"Lamb",2
"Fayette",2
"Archer",2
"Baker",2
"Ware",2
"Kenosha",2
"La Crosse",2
"Aurora",2
"Codington",2
"Lafayette",2
"Hughes",2
"Douglas",2
"Pend Oreille",2
"Warren",2
"Pope",2
"Hardin",2
"Cass",2
"Union",2
"Ida",2
"Hamilton",2
"Madison",2
"Wright",2
"Chickasaw",2
"Clark",2
"Republic",2
"Hardeman",2
"Grant",2
"McKinley",2
"Eddy",2
"Wallowa",2
"Pine",2
"Toole",2
"Yankton",2
"Nemaha",2
"Richardson",2
"Brunswick",2
"Brown",2
"Bonner",2
"Fayette",2
"Pottawattamie",2
"Marion",2
"Pike",2
"Winneshiek",2
"Washington",2
"Gallia",2
"Sussex",2
"Franklin",2
"Hart",2
"Floyd",2
"Winnebago",2
"LaPorte",2
"Crawford",2
"Goochland",2
"Crawford",2
"Ashtabula",2
"Moffat",2
"Rio Blanco",2
"Harris",2
"Washburn",2
"Craighead",2
"Lawrence",2
"Baxter",2
"Dillon",2
"Sherman",2
"Marshall",2
