"NAME","mean_pm25_exact"
"Coles",8.87996196746826
"Mecosta",8.87970924377441
"Humphreys",8.87847328186035
"Slope",8.87764263153076
"Warrick",8.87533283233643
"St. John the Baptist",8.8750171661377
"Sangamon",8.87497901916504
"Bay",8.87390613555908
"Issaquena",8.8699779510498
"Warren",8.86966705322266
"Ford",8.8692045211792
"Grant",8.86664867401123
"Marion",8.86435604095459
"Faulk",8.86430358886719
"Iberville",8.86425399780273
"Trinity",8.85947036743164
"Clarke",8.85904598236084
"Brown",8.85901165008545
"Knox",8.85776996612549
"Brazos",8.85764598846436
"Nicollet",8.85637855529785
"Seneca",8.85587882995605
"Fayette",8.85513401031494
"Tioga",8.85429668426514
"Crawford",8.85338497161865
"Poinsett",8.85102558135986
"Lafourche",8.85025501251221
"Hill",8.84989738464355
"Mahaska",8.84989166259766
"De Witt",8.84909534454346
"Henderson",8.84881210327148
"Montgomery",8.84721660614014
"Keokuk",8.84545040130615
"Mitchell",8.84305477142334
"Sullivan",8.84295177459717
"Douglas",8.8424015045166
"Switzerland",8.8422441482544
"Rusk",8.84184741973877
"Little River",8.84177303314209
"Wood",8.84162616729736
"Cherokee",8.84084606170654
"Comal",8.83870124816895
"Richland",8.83777618408203
"Jasper",8.83755207061768
"Los Angeles",8.83684635162354
"Washington",8.83681392669678
"Effingham",8.83606815338135
"Natchitoches",8.83540058135986
"Pleasants",8.834792137146
"St. Joseph",8.83443260192871
"Muskegon",8.83416080474854
"Pend Oreille",8.83193206787109
"Waseca",8.8309965133667
"Gibson",8.83010482788086
"Sanborn",8.82665348052979
"Greene",8.82517719268799
"Sevier",8.82450294494629
"Edmunds",8.82443523406982
"St. Joseph",8.82436180114746
"Tioga",8.82430934906006
"Hand",8.82363510131836
"Marshall",8.82337379455566
"Mitchell",8.82176971435547
"Porter",8.82156848907471
"Kaufman",8.82091236114502
"Shelby",8.82009696960449
"Pickens",8.8167200088501
"Piatt",8.81609535217285
"Clearfield",8.81520938873291
"Gallatin",8.81514930725098
"Beltrami",8.81390476226807
"Stevens",8.81339168548584
"Catoosa",8.8122730255127
"Hardy",8.81210136413574
"Limestone",8.81005001068115
"Pike",8.80991744995117
"Marion",8.80956935882568
"Chambers",8.80870532989502
"Geauga",8.80840682983398
"Midland",8.80815315246582
"Logan",8.80776405334473
"Clarke",8.80683326721191
"Clinton",8.80502891540527
"Fredericksburg",8.80495643615723
"Cass",8.80467319488525
"Gonzales",8.80428504943848
"Brown",8.80352973937988
"Adams",8.80241203308105
"Lawrence",8.80189895629883
"Hamlin",8.7981481552124
"DeKalb",8.79742050170898
"Cumberland",8.79613971710205
"Lake",8.79541397094727
"Dubois",8.79379081726074
"Rockland",8.7922191619873
"Jefferson",8.79184532165527
"Henry",8.79120826721191
"Grant",8.78911113739014
"Henderson",8.78872680664062
"Cass",8.78619480133057
"St. Bernard",8.78592491149902
"Meigs",8.7846794128418
"Story",8.78459739685059
"Robertson",8.78422737121582
"Potter",8.77858448028564
"Kosciusko",8.7783260345459
"Floyd",8.77822399139404
"Caldwell",8.77732181549072
"Kidder",8.7773027420044
"Coweta",8.7772741317749
"Washington",8.77455425262451
"Barrow",8.77418422698975
