"NAME","n_facilities_within_5km","near_pps"
"Pittsylvania",17,TRUE
"Bertie",17,TRUE
"Spartanburg",17,TRUE
"Scott",17,TRUE
"Western Connecticut",17,TRUE
"Wilson",17,TRUE
"Hillsborough",17,TRUE
"El Paso",17,TRUE
"Story",17,TRUE
"Jerome",17,TRUE
"Cumberland",17,TRUE
"Rutland",17,TRUE
"Kankakee",17,TRUE
"Nolan",17,TRUE
"Bernalillo",17,TRUE
"DeKalb",16,TRUE
"Rockingham",16,TRUE
"Orangeburg",16,TRUE
"Darlington",16,TRUE
"York",16,TRUE
"Duval",16,TRUE
"Pender",16,TRUE
"Montgomery",16,TRUE
"Reeves",16,TRUE
"Logan",16,TRUE
"Wayne",16,TRUE
"Klickitat",16,TRUE
"Rockland",16,TRUE
"Kane",16,TRUE
"Caddo",16,TRUE
"Warren",16,TRUE
"Washington",16,TRUE
"Wyoming",16,TRUE
"Lincoln",16,TRUE
"Yuba",15,TRUE
"Livingston",15,TRUE
"Lexington",15,TRUE
"Hoke",15,TRUE
"Pueblo",15,TRUE
"Rutherford",15,TRUE
"Coos",15,TRUE
"Wood",15,TRUE
"Genesee",15,TRUE
"Calcasieu",15,TRUE
"Franklin",15,TRUE
"Brookings",15,TRUE
"Wabasha",15,TRUE
"Alamance",15,TRUE
"Dallas",15,TRUE
"Scurry",15,TRUE
"Nueces",14,TRUE
"Franklin",14,TRUE
"Boulder",14,TRUE
"Sandoval",14,TRUE
"Newport",14,TRUE
"Davidson",14,TRUE
"Stanly",14,TRUE
"Jackson",14,TRUE
"Windsor",14,TRUE
"Jones",14,TRUE
"Wayne",14,TRUE
"Warren",14,TRUE
"Vance",14,TRUE
"Polk",14,TRUE
"Greater Bridgeport",14,TRUE
"Perquimans",14,TRUE
"Carbon",14,TRUE
"Jackson",14,TRUE
"Steuben",14,TRUE
"Jackson",14,TRUE
"Greenville",14,TRUE
"Stephenson",14,TRUE
"Tioga",14,TRUE
"Caledonia",14,TRUE
"Lyon",14,TRUE
"Malheur",13,TRUE
"Somerset",13,TRUE
"Webb",13,TRUE
"Plumas",13,TRUE
"Salt Lake",13,TRUE
"Madison",13,TRUE
"Washington",13,TRUE
"Franklin",13,TRUE
"Florence",13,TRUE
"Utah",13,TRUE
"King",13,TRUE
"Hardee",13,TRUE
"Douglas",13,TRUE
"Greene",13,TRUE
"Benton",13,TRUE
"Ector",13,TRUE
"Indian River",13,TRUE
"Lee",13,TRUE
"Doña Ana",13,TRUE
"Washington",13,TRUE
"Arlington",13,TRUE
"Winnebago",13,TRUE
"St. Lucie",13,TRUE
"Ogle",13,TRUE
"Nobles",13,TRUE
"Ramsey",13,TRUE
"White",13,TRUE
"Bedford",12,TRUE
"Beaufort",12,TRUE
"Anson",12,TRUE
"Lane",12,TRUE
"Multnomah",12,TRUE
"Chester",12,TRUE
"St. Louis",12,TRUE
"Montgomery",12,TRUE
"Cattaraugus",12,TRUE
"Richmond",12,TRUE
"Jasper",12,TRUE
"Passaic",12,TRUE
"Lower Connecticut River Valley",12,TRUE
"Aroostook",12,TRUE
"Orange",12,TRUE
"Santa Barbara",12,TRUE
"Cayuga",12,TRUE
"Cabarrus",12,TRUE
"Schuylkill",12,TRUE
"Whatcom",12,TRUE
"Madison",12,TRUE
"DeKalb",12,TRUE
"Barnwell",12,TRUE
"Ada",12,TRUE
"Denton",12,TRUE
"Franklin",12,TRUE
"Ottawa",12,TRUE
"Whiteside",12,TRUE
"Northwest Hills",12,TRUE
"Rockingham",12,TRUE
"Carroll",12,TRUE
"Bureau",12,TRUE
"Lea",12,TRUE
"Outagamie",12,TRUE
"Linn",12,TRUE
"Lowndes",11,TRUE
"Worth",11,TRUE
"St. Clair",11,TRUE
"Baker",11,TRUE
"Alachua",11,TRUE
"Allegheny",11,TRUE
"San Mateo",11,TRUE
"Brunswick",11,TRUE
"Wayne",11,TRUE
"Prince William",11,TRUE
"Victoria",11,TRUE
"Carson",11,TRUE
"Churchill",11,TRUE
"Burke",11,TRUE
"Oconee",11,TRUE
"El Paso",11,TRUE
"DuPage",11,TRUE
"Linn",11,TRUE
"Garrett",11,TRUE
"Chesterfield",11,TRUE
"Yellow Medicine",11,TRUE
"McHenry",11,TRUE
"Manatee",11,TRUE
"Allegan",11,TRUE
"Grundy",11,TRUE
"Lake",11,TRUE
"St. Clair",11,TRUE
"Granville",11,TRUE
"Person",11,TRUE
"Miami-Dade",11,TRUE
"Champaign",11,TRUE
"Tompkins",11,TRUE
"Seneca",11,TRUE
"Yadkin",11,TRUE
"Oliver",11,TRUE
"Bonneville",11,TRUE
"Kent",10,TRUE
"Clay",10,TRUE
"Chautauqua",10,TRUE
"Horry",10,TRUE
"Aiken",10,TRUE
"York",10,TRUE
"Halifax",10,TRUE
"Henrico",10,TRUE
"Brevard",10,TRUE
"Sherman",10,TRUE
"Marlboro",10,TRUE
"Frederick",10,TRUE
"Strafford",10,TRUE
"Richland",10,TRUE
"Cuyahoga",10,TRUE
"San Patricio",10,TRUE
"Juneau",10,TRUE
"Mono",10,TRUE
"Lucas",10,TRUE
"Morton",10,TRUE
"Starr",10,TRUE
"Cowlitz",10,TRUE
"Fayette",10,TRUE
"Calumet",10,TRUE
"Chippewa",10,TRUE
"Cambria",10,TRUE
"Broome",10,TRUE
